Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1,1:59:30,Sabastian Kimaru Sawe,KEN,16.03.1995,1,London,26.04.2026,Men,Marathon
1,2:09:56,Ruth Chepngetich,KEN,08.08.1994,1,Chicago,13.10.2024,Women,Marathon
2,2:10:51,Fotyen Tesfay,ETH,17.02.1998,1,Barcelona,15.03.2026,Women,Marathon
2,1:59:41,Yomif Kejelcha,ETH,01.08.1997,2,London,26.04.2026,Men,Marathon
3,2:11:53,Tigst Assefa,ETH,03.12.1996,1,Berlin,24.09.2023,Women,Marathon
3,2:00:28,Jacob Kiplimo,UGA,14.11.2000,3,London,26.04.2026,Men,Marathon
4,2:13:44,Sifan Hassan,NED,01.01.1993,1,Chicago,08.10.2023,Women,Marathon
4,2:00:35,Kelvin Kiptum,KEN,02.12.1999,1,Chicago,08.10.2023,Men,Marathon
5,2:14:00,Joyciline Jepkosgei,KEN,28.12.1993,1,Valencia,07.12.2025,Women,Marathon
5,2:01:09,Eliud Kipchoge,KEN,05.11.1984,1,Berlin,25.09.2022,Men,Marathon
6,2:14:04,Brigid Kosgei,KEN,20.02.1994,1,Chicago,13.10.2019,Women,Marathon
6,2:01:25,Kelvin Kiptum,KEN,02.12.1999,1,London,23.04.2023,Men,Marathon
7,2:14:18,Ruth Chepngetich,KEN,08.08.1994,1,Chicago,09.10.2022,Women,Marathon
7,2:01:39,Amos Kipruto,KEN,16.09.1992,4,London,26.04.2026,Men,Marathon
7,2:01:39,Eliud Kipchoge,KEN,05.11.1984,1,Berlin,16.09.2018,Men,Marathon
8,2:14:29,Brigid Kosgei,KEN,20.02.1994,1,Tokyo,01.03.2026,Women,Marathon
9,2:14:43,Peres Jepchirchir,KEN,27.09.1993,2,Valencia,07.12.2025,Women,Marathon
9,2:01:41,Kenenisa Bekele,ETH,13.06.1982,1,Berlin,29.09.2019,Men,Marathon
10,2:14:57,Hawi Feysa,ETH,01.02.1999,1,Chicago,12.10.2025,Women,Marathon
10,2:01:48,Sisay Lemma,ETH,12.12.1990,1,Valencia,03.12.2023,Men,Marathon
11,2:01:53,Kelvin Kiptum,KEN,02.12.1999,1,Valencia,04.12.2022,Men,Marathon
11,2:14:58,Amane Beriso Shankule,ETH,13.10.1991,1,Valencia,04.12.2022,Women,Marathon
12,2:15:25,Paula Radcliffe,GBR,17.12.1973,1,London,13.04.2003,Women,Marathon
12,2:02:05,Sabastian Kimaru Sawe,KEN,16.03.1995,1,Valencia,01.12.2024,Men,Marathon
13,2:02:16,Benson Kipruto,KEN,17.03.1991,1,Tokyo,03.03.2024,Men,Marathon
13,2:02:16,Sabastian Kimaru Sawe,KEN,16.03.1995,1,Berlin,21.09.2025,Men,Marathon
13,2:15:37,Ruth Chepngetich,KEN,08.08.1994,2,Chicago,08.10.2023,Women,Marathon
13,2:15:37,Tigst Assefa,ETH,03.12.1996,1,Berlin,25.09.2022,Women,Marathon
15,2:02:23,Jacob Kiplimo,UGA,14.11.2000,1,Chicago,12.10.2025,Men,Marathon
15,2:15:41,Tigst Assefa,ETH,03.12.1996,1,London,26.04.2026,Women,Marathon
16,2:02:24,John Korir,KEN,02.12.1996,1,Valencia,07.12.2025,Men,Marathon
16,2:15:50,Tigst Assefa,ETH,03.12.1996,1,London,27.04.2025,Women,Marathon
17,2:02:27,Sabastian Kimaru Sawe,KEN,16.03.1995,1,London,27.04.2025,Men,Marathon
17,2:15:51,Worknesh Degefa,ETH,28.10.1990,1,Valencia,03.12.2023,Women,Marathon
18,2:15:53,Hellen Obiri,KEN,13.12.1989,2,London,26.04.2026,Women,Marathon
18,2:02:37,Eliud Kipchoge,KEN,05.11.1984,1,London,28.04.2019,Men,Marathon
19,2:02:38,Deresa Geleta,ETH,14.01.1996,2,Valencia,01.12.2024,Men,Marathon
19,2:15:55,Sutume Asefa Kebede,ETH,11.12.1994,1,Tokyo,03.03.2024,Women,Marathon
19,2:15:55,Joyciline Jepkosgei,KEN,28.12.1993,3,London,26.04.2026,Women,Marathon
20,2:02:40,Eliud Kipchoge,KEN,05.11.1984,1,Tokyo,06.03.2022,Men,Marathon
21,2:16:02,Brigid Kosgei,KEN,20.02.1994,1,Tokyo,06.03.2022,Women,Marathon
21,2:02:42,Eliud Kipchoge,KEN,05.11.1984,1,Berlin,24.09.2023,Men,Marathon
22,2:02:44,John Korir,KEN,02.12.1996,1,Chicago,13.10.2024,Men,Marathon
22,2:16:07,Tigist Ketema,ETH,15.09.1998,1,Dubai,07.01.2024,Women,Marathon
23,2:02:48,Birhanu Legese,ETH,11.09.1994,2,Berlin,29.09.2019,Men,Marathon
23,2:16:14,Rosemary Wanjiru,KEN,09.12.1994,2,Tokyo,03.03.2024,Women,Marathon
24,2:16:16,Peres Jepchirchir,KEN,27.09.1993,1,London,21.04.2024,Women,Marathon
24,2:02:55,Mosinet Geremew,ETH,12.02.1992,2,London,28.04.2019,Men,Marathon
24,2:02:55,Timothy Kiplagat,KEN,18.09.1993,2,Tokyo,03.03.2024,Men,Marathon
25,2:16:22,Almaz Ayana,ETH,21.11.1991,2,Valencia,03.12.2023,Women,Marathon
26,2:16:23,Tigst Assefa,ETH,03.12.1996,2,London,21.04.2024,Women,Marathon
26,2:02:57,Dennis Kimetto,KEN,22.04.1984,1,Berlin,28.09.2014,Men,Marathon
27,2:16:24,Joyciline Jepkosgei,KEN,28.12.1993,3,London,21.04.2024,Women,Marathon
27,2:02:59,Tamirat Tola,ETH,11.08.1991,5,London,26.04.2026,Men,Marathon
28,2:16:28,Rosemary Wanjiru,KEN,09.12.1994,1,Tokyo,05.03.2023,Women,Marathon
28,2:03:00,Evans Chebet,KEN,10.11.1988,1,Valencia,06.12.2020,Men,Marathon
28,2:03:00,Gabriel Gerald Geay,TAN,10.09.1996,2,Valencia,04.12.2022,Men,Marathon
29,2:16:31,Sutume Asefa Kebede,ETH,11.12.1994,1,Tokyo,02.03.2025,Women,Marathon
30,2:16:34,Megertu Alemu,ETH,12.10.1997,4,London,21.04.2024,Women,Marathon
30,2:03:03,Kenenisa Bekele,ETH,13.06.1982,1,Berlin,25.09.2016,Men,Marathon
31,2:16:36,Bertukan Welde,ETH,10.05.2004,2,Tokyo,01.03.2026,Women,Marathon
31,2:03:04,Lawrence Cherono,KEN,07.08.1988,2,Valencia,06.12.2020,Men,Marathon
31,2:16:36,Brigid Kosgei,KEN,20.02.1994,1,Shanghai,30.11.2025,Women,Marathon
32,2:03:05,Eliud Kipchoge,KEN,05.11.1984,1,London,24.04.2016,Men,Marathon
33,2:03:11,Alexander Munyao,KEN,10.09.1996,2,Valencia,03.12.2023,Men,Marathon
33,2:16:42,Tigist Ketema,ETH,15.09.1998,1,Berlin,29.09.2024,Women,Marathon
34,2:16:49,Megertu Alemu,ETH,12.10.1997,1,Valencia,01.12.2024,Women,Marathon
34,2:03:13,Wilson Kipsang Kiprotich,KEN,15.03.1982,2,Berlin,25.09.2016,Men,Marathon
34,2:03:13,Amos Kipruto,KEN,16.09.1992,2,Tokyo,06.03.2022,Men,Marathon
34,2:03:13,Vincent Kipkemoi Ngetich,KEN,03.01.1999,2,Berlin,24.09.2023,Men,Marathon
34,2:16:49,Letesenbet Gidey,ETH,20.03.1998,2,Valencia,04.12.2022,Women,Marathon
34,2:03:13,Emmanuel Mutai,KEN,12.10.1984,2,Berlin,28.09.2014,Men,Marathon
36,2:16:52,Yalemzerf Yehualaw,ETH,03.08.1999,1,Amsterdam,20.10.2024,Women,Marathon
37,2:16:56,Winfridah Moraa Moseti,KEN,10.02.1996,2,Tokyo,02.03.2025,Women,Marathon
38,2:03:16,Mule Wasihun,ETH,20.10.1993,3,London,28.04.2019,Men,Marathon
38,2:03:16,Birhanu Legese,ETH,11.09.1994,3,Valencia,06.12.2020,Men,Marathon
38,2:16:58,Amane Beriso Shankule,ETH,13.10.1991,3,Tokyo,03.03.2024,Women,Marathon
39,2:17:00,Hawi Feysa,ETH,01.02.1999,3,Tokyo,02.03.2025,Women,Marathon
40,2:03:17,Milkesa Mengesha,ETH,16.04.2000,1,Berlin,29.09.2024,Men,Marathon
40,2:17:01,Mary Jepkosgei Keitany,KEN,18.01.1982,1,London,23.04.2017,Women,Marathon
41,2:03:22,Cybrian Kotut,KEN,06.06.1992,2,Berlin,29.09.2024,Men,Marathon
41,2:17:05,Brillian Jepkorir Kipkoech,KEN,01.03.1995,1,Hamburg,26.04.2026,Women,Marathon
42,2:03:23,Deresa Geleta,ETH,14.01.1996,6,London,26.04.2026,Men,Marathon
42,2:17:08,Ruth Chepngetich,KEN,08.08.1994,1,Dubai,25.01.2019,Women,Marathon
42,2:03:23,Tadese Takele,ETH,03.08.2002,1,Tokyo,02.03.2025,Men,Marathon
42,2:03:23,Wilson Kipsang Kiprotich,KEN,15.03.1982,1,Berlin,29.09.2013,Men,Marathon
43,2:17:09,Megertu Alemu,ETH,12.10.1997,3,Chicago,08.10.2023,Women,Marathon
44,2:17:16,Peres Jepchirchir,KEN,27.09.1993,1,Valencia,06.12.2020,Women,Marathon
45,2:03:24,Tadese Takele,ETH,03.08.2002,3,Berlin,24.09.2023,Men,Marathon
45,2:17:18,Paula Radcliffe,GBR,17.12.1973,1,Chicago,13.10.2002,Women,Marathon
45,2:17:18,Ruth Chepngetich,KEN,08.08.1994,1,Nagoya,13.03.2022,Women,Marathon
45,2:17:18,Megertu Alemu,ETH,12.10.1997,2,Chicago,12.10.2025,Women,Marathon
46,2:03:27,Deresa Geleta,ETH,14.01.1996,1,Sevilla,18.02.2024,Men,Marathon
47,2:03:29,Alexander Munyao,KEN,10.09.1996,3,Valencia,04.12.2022,Men,Marathon
48,2:03:30,Amos Kipruto,KEN,16.09.1992,4,Valencia,06.12.2020,Men,Marathon
48,2:17:20,Almaz Ayana,ETH,21.11.1991,1,Amsterdam,16.10.2022,Women,Marathon
48,2:03:30,Geofry Toroitich Kipchumba,KEN,01.02.2000,1,Amsterdam,19.10.2025,Men,Marathon
49,2:17:23,Yalemzerf Yehualaw,ETH,03.08.1999,1,Hamburg,24.04.2022,Women,Marathon
49,2:17:23,Joyciline Jepkosgei,KEN,28.12.1993,4,Chicago,08.10.2023,Women,Marathon
